# Rime user dictionary
#@/db_name	FlyDP.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	102671
#@/user_id	Dell5370_Win
a 	啊	c=156 d=1.4796 t=102671
ban tong hou 	伴同后	c=1 d=2.01987e-65 t=102671
ban wan 	办完	c=1 d=5.4887e-61 t=102671
ban xiao shi 	半小时	c=1 d=9.24374e-17 t=102671
ban xie 	板鞋	c=2 d=1 t=84683
ban ye 	半夜	c=0 d=8.34026e-102 t=102671
ban yun 	搬运	c=9 d=0.343009 t=102671
ban zhou 	半轴	c=6 d=3.78628e-143 t=102671
ban zhuang 	板状	c=22 d=2.26618e-07 t=102671
ban zi dong 	半自动	c=3 d=1.90438e-07 t=102671
bang 	帮	c=9 d=5.68844e-11 t=102671
bang bang 	棒棒	c=1 d=2.84427e-33 t=102671
bang dao 	帮到	c=1 d=7.9754e-16 t=102671
bang ding 	绑定	c=8 d=2.5556e-66 t=102671
bang mang 	帮忙	c=7 d=1.28107e-08 t=102671
bang ni 	帮你	c=6 d=1.29826e-12 t=102671
bang ni men 	帮你们	c=4 d=6.0203e-31 t=102671
bang nin 	帮您	c=1 d=1 t=91406
bang ren 	帮人	c=1 d=9.10302e-13 t=102671
bang wo 	帮我	c=21 d=0.618783 t=102671
bang zhu 	帮助	c=4 d=2.53356e-25 t=102671
bao 	包	c=9 d=0.951229 t=102671
bao an 	报案	c=1 d=0.0168231 t=102671
bao bao 	宝宝	c=1 d=6.57654e-100 t=102671
bao bei 	报备	c=3 d=5.92155e-142 t=102671
bao chi 	保持	c=26 d=0.0117959 t=102671
bao chu lai 	报出来	c=1 d=5.0959e-11 t=102671
bao cun 	保存	c=23 d=1.50701 t=102671
bao da 	报答	c=1 d=6.83562e-84 t=102671
bao dao 	报道	c=1 d=1 t=101534
bao fa 	爆发	c=1 d=1.08691e-98 t=102671
bao fei 	报废	c=2 d=8.72306e-136 t=102671
bao gao 	报告	c=4 d=3.5832e-07 t=102671
bao han 	包含	c=28 d=0.740855 t=102671
bao hu 	保护	c=26 d=0.511709 t=102671
bao hu de 	保护的	c=0 d=0.1 t=78822
bao jia 	保价	c=4 d=9.07182e-10 t=102671
bao jia 	报价	c=1 d=5.45743e-82 t=102671
bao jia biao 	报价表	c=1 d=6.83446e-82 t=102671
bao jia dan 	报价单	c=2 d=1.11641e-81 t=102671
bao jing 	报警	c=3 d=8.47235e-80 t=102671
bao kuo 	包括	c=182 d=0.524697 t=102671
bao le 	报了	c=1 d=3.62873e-75 t=102671
bao liu 	保留	c=8 d=1.26904 t=102671
bao lu 	暴露	c=1 d=5.50348e-122 t=102671
bao mi 	保密	c=3 d=1.56988e-71 t=102671
bao mi xie yi 	保密协议	c=1 d=3.69185e-72 t=102671
bao ming 	报名	c=4 d=9.18825e-05 t=102671
bao pian 	薄片	c=18 d=0.0451774 t=102671
bao piao 	保票	c=1 d=1 t=83451
bao qian 	抱歉	c=2 d=3.02015e-33 t=102671
bao shang qu 	报上去	c=1 d=1 t=87332
bao song 	报送	c=10 d=8.66938e-27 t=102671
bao ta zhen he yao 	宝塔镇河妖	c=1 d=5.32596e-148 t=102671
bao wen bei 	保温杯	c=2 d=5.59595e-24 t=102671
bao xian 	保险	c=6 d=6.84094e-05 t=102671
bao xian gang 	保险杠	c=1 d=2.78549e-52 t=102671
bao xiu qi 	保修期	c=1 d=6.2437e-136 t=102671
bao yang 	保养	c=7 d=3.01253e-114 t=102671
bao yang wan 	保养完	c=1 d=2.82837e-114 t=102671
bao zang 	宝藏	c=1 d=1.75552e-150 t=102671
bao zha 	爆炸	c=5 d=0.0199405 t=102671
bao zhang 	保障	c=1 d=2.12451e-71 t=102671
bao zhang 	报账	c=38 d=0.0293049 t=102671
bao zhen 	保真	c=1 d=5.94078e-51 t=102671
bao zheng 	保证	c=50 d=0.0704036 t=102671
bao zheng yzdy; wfd 	保证油温	c=1 d=2.70429e-145 t=102671
bao zhuang 	包装	c=34 d=2.24725e-13 t=102671
bao zi 	包子	c=4 d=3.26874 t=79992
bbm 	彬	c=1 d=1 t=79144
bcb; fux 	包覆	c=6 d=1.68375e-08 t=102671
bcf 	报	c=38 d=0.000207737 t=102671
bcf an zi 	报案子	c=1 d=1 t=94219
bcf uai 	报厦	c=1 d=1 t=96698
bcr; vir; 	保值	c=1 d=2.30327e-139 t=102671
bcv kof 	豹扩	c=1 d=1.65896e-14 t=102671
bdf 	摆	c=2 d=0.00479587 t=102671
bei 	被	c=2 d=0.0569145 t=102671
bei an 	备案	c=42 d=0.748264 t=102671
bei an jiu 	备案就	c=1 d=1 t=79014
bei dou 	北斗	c=1 d=5.29073e-70 t=102671
bei fen 	备份	c=5 d=1.01771e-30 t=102671
bei hai 	北海	c=7 d=1.02989e-74 t=102671
bei hou 	背后	c=1 d=1 t=101703
bei jing 	北京	c=7 d=0.00562801 t=102671
bei jing 	背景	c=32 d=0.00559994 t=102671
bei jing ji shu 	背景技术	c=8 d=1.37609e-09 t=102671
bei jing se 	背景色	c=1 d=1.07583e-07 t=102671
bei li 	背离	c=26 d=0.0683624 t=102671
bei mian 	背面	c=2 d=0.0218184 t=102671
bei tou 	被偷	c=1 d=2.17355e-16 t=102671
bei zhu 	备注	c=13 d=1.8246e-16 t=102671
bei zi 	杯子	c=2 d=6.9864e-36 t=102671
ben 	本	c=253 d=4.87588 t=102671
ben an 	本安	c=3 d=6.51575e-79 t=102671
ben ci 	本次	c=7 d=6.19205e-09 t=102671
ben di 	本地	c=2 d=7.74364e-22 t=102671
ben fa ming 	本发明	c=11 d=1.3344e-23 t=102671
ben hcd; 	本浩	c=8 d=2.55745e-102 t=102671
ben jie 	本届	c=1 d=2.05723e-16 t=102671
ben lai 	本来	c=18 d=1.91188e-05 t=102671
ben lai di er ci 	本来第二次	c=1 d=4.51124e-136 t=102671
ben ling yu 	本领域	c=29 d=1.63872e-19 t=102671
ben lky hu 	本零胡	c=2 d=1.13199 t=93895
ben shen 	本身	c=4 d=2.31472e-21 t=102671
ben shen qing 	本申请	c=9 d=0.000446085 t=102671
ben shi 	本市	c=1 d=2.49136e-92 t=102671
ben shi shi li 	本实施例	c=3 d=3.9489e-11 t=102671
ben ti 	本体	c=4 d=4.71783e-67 t=102671
ben ying gai 	本应该	c=1 d=8.25754e-72 t=102671
ben zhi 	本质	c=1 d=1.1908e-25 t=102671
beng 	泵	c=1 d=2.53504e-120 t=102671
bfa 	本	c=1 d=1.67558e-43 t=102671
bhm 	棒	c=2 d=1.75121e-33 t=102671
bi 	比	c=22 d=0.0993333 t=102671
bi ding 	必定	c=11 d=1.14314e-15 t=102671
bi fang 	比方	c=1 d=2.58378e-50 t=102671
bi fen 	比分	c=1 d=9.23468e-123 t=102671
bi hou 	壁厚	c=2 d=1.80519e-19 t=102671
bi ji 	笔记	c=7 d=9.59288e-12 t=102671
bi ji ben 	笔记本	c=12 d=8.46569e-12 t=102671
bi jiao 	比较	c=49 d=0.852144 t=102671
bi jiao duo 	比较多	c=2 d=5.34698e-18 t=102671
bi jiao hao 	比较好	c=10 d=8.72351e-12 t=102671
bi jiao kuai 	比较快	c=1 d=3.17243e-141 t=102671
bi jiao zhong 	比较重	c=0 d=0.1 t=86340
bi jiao zhong yao 	比较重要	c=1 d=1 t=86341
bi jing 	必经	c=1 d=1 t=92916
bi jing 	毕竟	c=15 d=6.39125e-17 t=102671
bi kan 	必看	c=1 d=1 t=94622
bi lao shi 	毕老师	c=1 d=1 t=84039
bi lei 	壁垒	c=1 d=1.10499e-145 t=102671
bi li 	比例	c=15 d=7.69847e-12 t=102671
bi lu 	秘鲁	c=1 d=0.0608101 t=102671
bi mian 	避免	c=81 d=0.265851 t=102671
bi mian ni men 	避免你们	c=1 d=6.41635e-104 t=102671
bi mian tao guan 	避免套管	c=1 d=1.51232e-131 t=102671
bi ni 	比你	c=3 d=6.85259e-25 t=102671
bi qi 	比起	c=0 d=1.97974e-124 t=102671
bi ru 	比如	c=41 d=0.0958472 t=102671
bi sai 	比赛	c=2 d=2.3939e-05 t=102671
bi shan 	璧山	c=1 d=2.95192e-117 t=102671
bi shi 	鄙视	c=1 d=3.82961e-150 t=102671
bi wo men 	比我们	c=1 d=3.10991e-54 t=102671
bi xu 	必须	c=11 d=3.96817e-09 t=102671
bi xu yao 	必须要	c=1 d=8.35697e-07 t=102671
bi yao 	必要	c=8 d=2.18259e-06 t=102671
bi ye 	毕业	c=8 d=0.501576 t=102671
bi ying 	必应	c=1 d=0.865022 t=102671
bi zhen 	逼真	c=1 d=4.68911e-91 t=102671
bi zhi 	壁纸	c=2 d=1.64772e-132 t=102671
bian 	辩	c=1 d=9.8445e-140 t=102671
bian 	边	c=3 d=8.93435e-87 t=102671
bian bao 	变薄	c=2 d=0.31608 t=102671
bian cheng 	变成	c=8 d=0.182684 t=102671
bian da 	变大	c=2 d=9.35701e-123 t=102671
bian dao 	便道	c=1 d=3.64653e-15 t=102671
bian dao 	变道	c=2 d=1.04539e-14 t=102671
bian fu 	蝙蝠	c=2 d=1.91851 t=100206
bian geng 	变更	c=62 d=5.18844e-10 t=102671
bian geng hou 	变更后	c=2 d=1.86819e-29 t=102671
bian guo qu 	变过去	c=1 d=1.34473e-14 t=102671
bian hao 	编号	c=11 d=8.98612e-08 t=102671
bian hua 	变化	c=14 d=5.35024e-34 t=102671
bian ji 	编辑	c=8 d=1.1094e-07 t=102671
bian ji qi 	编辑器	c=4 d=0.0893673 t=102671
bian jiao 	边角	c=3 d=8.11557e-31 t=102671
bian jie 	边界	c=6 d=1.09209e-07 t=102671
bian ju 	边距	c=1 d=1.15384e-07 t=102671
bian kuang 	边框	c=5 d=0.521491 t=102671
bian li 	便利	c=1 d=0.00511796 t=102671
bian li xing 	便利性	c=2 d=2.21746e-16 t=102671
bian liang 	变量	c=6 d=0.0526021 t=102671
bian lun 	辩论	c=1 d=9.7954e-140 t=102671
bian ma 	编码	c=12 d=3.67989e-07 t=102671
bian ping 	扁平	c=0 d=3.80388e-13 t=102671
bian ping zhuang 	扁平状	c=1 d=3.82295e-12 t=102671
bian shang 	边上	c=5 d=0.289384 t=102671
bian su qi 	变速器	c=21 d=2.34 t=91229
bian su xiang 	变速箱	c=33 d=1.85374e-26 t=102671
bian xiao 	变小	c=4 d=1.62893e-05 t=102671
bian xie 	便携	c=4 d=4.62289e-12 t=102671
bian xie ban 	便携版	c=4 d=3.8667e-20 t=102671
bian xing 	变形	c=13 d=5.91497e-06 t=102671
bian xing liang 	变形量	c=1 d=1.15052e-120 t=102671
bian ya qi 	变压器	c=1 d=2.56723e-92 t=102671
bian yu 	便于	c=43 d=0.472047 t=102671
bian yuan 	边缘	c=14 d=3.45031e-06 t=102671
bian zhi 	编制	c=2 d=5.69235e-07 t=102671
biao 	表	c=26 d=0.469146 t=102671
biao ban 	表板	c=1 d=2.6428e-107 t=102671
biao chi 	标尺	c=3 d=1.66309e-35 t=102671
biao da 	表达	c=3 d=1.74248e-33 t=102671
biao di 	表弟	c=2 d=7.02714e-117 t=102671
biao dian 	标点	c=3 d=0.995012 t=102671
biao dian fu hao 	标点符号	c=1 d=1.88375e-09 t=102671
biao ding 	标定	c=2 d=7.19172e-85 t=102671
biao ge 	表格	c=17 d=6.96918e-14 t=102671
biao hao 	标号	c=2 d=3.4824e-32 t=102671
biao ji 	标记	c=8 d=5.9216e-13 t=102671
biao ji wei 	标记为	c=1 d=2.17526e-84 t=102671
biao mian 	表面	c=81 d=0.101616 t=102671
biao mian ji 	表面积	c=3 d=1.05818e-121 t=102671
biao ming 	表明	c=3 d=2.21821e-20 t=102671
biao pei 	标配	c=1 d=7.07068e-70 t=102671
biao qian 	标签	c=3 d=2.92149e-133 t=102671
biao qian ye 	标签页	c=2 d=1.46569e-132 t=102671
biao shi 	标示	c=-19 d=1.11181e-07 t=102671
biao shi 	表示	c=18 d=0.790571 t=102671
biao shu 	表述	c=5 d=4.58469e-32 t=102671
biao ti 	标题	c=2 d=1 t=88444
biao xian chu 	表现出	c=1 d=2.11549e-21 t=102671
biao yan 	表演	c=1 d=2.17038e-87 t=102671
biao zhi 	标志	c=1 d=1 t=90365
biao zhu 	标注	c=1 d=8.14482e-28 t=102671
biao zhun 	标准	c=9 d=1.44297e-20 t=102671
biao zhun hua 	标准化	c=1 d=1 t=82018
bibu; 	毕	c=18 d=1.74307 t=102671
bie 	别	c=1 d=1.8123e-54 t=102671
bie ge 	别个	c=2 d=2.18593e-24 t=102671
bie ren 	别人	c=11 d=1.27211e-08 t=102671
bing 	并	c=151 d=2.86123 t=102671
bing bu 	并不	c=1 d=1 t=82139
bing bu shi 	并不是	c=2 d=1.58473e-93 t=102671
bing cong 	并从	c=1 d=0.034562 t=102671
bing fei 	并非	c=2 d=7.03439e-113 t=102671
bing gao 	冰糕	c=1 d=8.94891e-18 t=102671
bing jiang 	并将	c=1 d=1 t=88490
bing lian 	并联	c=4 d=3.40822e-14 t=102671
bing mei you 	并没有	c=4 d=9.52525e-17 t=102671
bing pai 	并排	c=6 d=0.172045 t=102671
bing qie 	并且	c=1 d=4.19138e-65 t=102671
bing ren 	病人	c=3 d=2.91479e-27 t=102671
bing tai 	病态	c=1 d=2.60019e-95 t=102671
bing xiang 	冰箱	c=2 d=1.5599 t=100541
bing yi 	并以	c=1 d=4.02443e-28 t=102671
bing yu 	并与	c=1 d=1 t=96706
bing zai 	并在	c=4 d=1.15106e-08 t=102671
biuo; 	臂	c=2 d=7.53519e-12 t=102671
biut 	壁	c=2 d=0.00107547 t=102671
biut; 	壁	c=3 d=1.53847e-58 t=102671
biv 	笔	c=1 d=1.30454e-10 t=102671
bjd 	半	c=7 d=2.80072e-09 t=102671
bjf 	搬	c=3 d=0.0188734 t=102671
bjf; 	搬	c=0 d=6.25347e-126 t=102671
bjf; wa gong 	搬瓦工	c=4 d=1.66495e-27 t=102671
bjfb 	拌	c=10 d=3.35852e-47 t=102671
bjfb he tong 	拌合同	c=2 d=9.26737e-47 t=102671
bjfb; her 	拌合	c=14 d=6.33316e-46 t=102671
bjfb; her drl 	拌合端	c=6 d=3.56519e-63 t=102671
bjfb; her tou 	拌合头	c=52 d=4.37542e-45 t=102671
bjl 	办	c=3 d=1.16382e-30 t=102671
bjm 	板	c=24 d=0.0134466 t=102671
bjp 	版	c=14 d=0.0937067 t=102671
bjw 	班	c=2 d=7.59935e-36 t=102671
bkq 	兵	c=3 d=3.33647e-70 t=102671
bmh; xms 	扁线	c=24 d=0.0770908 t=102671
bmr 	便	c=1 d=1.11287e-111 t=102671
bms 	编	c=16 d=0.923116 t=102671
bms an zi 	编案子	c=1 d=1 t=94388
bmw 	变	c=12 d=1.18182e-14 t=102671
bmz 	遍	c=1 d=7.11315e-111 t=102671
bmzl 	边	c=2 d=1.51539 t=99751
bnm 	标	c=8 d=2.05087e-09 t=102671
bnm uiyb; 	标识	c=2 d=1 t=90367
bnm uiyb; ka 	标识卡	c=7 d=6.64603e-23 t=102671
bnn 	婊	c=0 d=1.60659e-20 t=102671
bo dong 	波动	c=2 d=0.68597 t=102671
bo dong llo 	波动量	c=1 d=0.644036 t=102671
bo fang 	播放	c=7 d=0.683861 t=102671
bo hao 	拨号	c=1 d=1 t=80609
bo hui 	驳回	c=22 d=0.760065 t=102671
bo hui lv 	驳回率	c=1 d=1 t=95059
bo kai 	博凯	c=25 d=3.64343e-05 t=102671
bo lang xing 	波浪形	c=3 d=0.00121488 t=102671
bo li 	玻璃	c=3 d=1.14887e-15 t=102671
bo li shui 	玻璃水	c=1 d=0.109701 t=102671
bo luo mi 	波罗蜜	c=1 d=3.60353e-140 t=102671
bo pian 	玻片	c=4 d=1.39099e-05 t=102671
bo shi 	博士	c=1 d=1.30228e-19 t=102671
bo xing 	波形	c=1 d=0.386741 t=102671
bo yin 	播音	c=1 d=1.96111e-100 t=102671
boc 	薄	c=0 d=1.0358e-150 t=102671
bod 	泊	c=1 d=2.66809e-16 t=102671
bod 	波	c=3 d=0.021068 t=102671
bof 	播	c=1 d=1.97094e-100 t=102671
bomx 	驳	c=1 d=1 t=95053
bouc; 	博	c=3 d=2.511e-08 t=102671
boul; fwvd; viat; mwy 	勃飞至美	c=1 d=4.38267e-90 t=102671
bovc; 	簿	c=0 d=1.13946e-125 t=102671
bu 	不	c=227 d=1.39587 t=102671
bu an quan 	不安全	c=1 d=1 t=89075
bu bao 	不报	c=3 d=5.48905e-54 t=102671
bu bao han 	不包含	c=1 d=2.74356e-50 t=102671
bu bao zhang 	不报账	c=1 d=1 t=80270
bu bei 	不被	c=1 d=7.40266e-51 t=102671
bu bi yao 	不必要	c=1 d=1.45787e-82 t=102671
bu bian 	不便	c=5 d=0.0154523 t=102671
bu bian 	不变	c=2 d=2.81205e-46 t=102671
bu chang 	补偿	c=3 d=8.63055e-33 t=102671
bu chao guo 	不超过	c=1 d=1.84759e-75 t=102671
bu chi 	不吃	c=1 d=2.84582e-10 t=102671
bu chong 	补充	c=30 d=1.67449e-06 t=102671
bu chong yi ge 	补充一个	c=1 d=7.47276e-103 t=102671
bu chu 	不出	c=3 d=8.66348e-19 t=102671
bu cun zai 	不存在	c=9 d=1.19405e-20 t=102671
bu cuo 	不错	c=15 d=0.951229 t=102671
bu da 	不大	c=3 d=0.000134358 t=102671
bu da biao 	不达标	c=1 d=0.980199 t=102671
bu dai 	布袋	c=170 d=6.64632e-114 t=102671
bu dai chu chen 	布袋除尘	c=1 d=6.10446e-106 t=102671
bu dan 	不但	c=1 d=1 t=93510
bu dao 	不到	c=6 d=2.11241e-47 t=102671
bu ddf 	不带	c=2 d=1.18547e-31 t=102671
bu de le 	不得了	c=1 d=1 t=101558
bu de xing 	不得行	c=4 d=3.54106e-52 t=102671
bu diao 	不掉	c=1 d=1.54156e-121 t=102671
bu ding 	补丁	c=2 d=0.000180365 t=102671
bu dong 	不动	c=1 d=2.92492e-09 t=102671
bu dong 	不懂	c=5 d=1.55578e-82 t=102671
bu dou shi 	不都是	c=1 d=2.2812e-114 t=102671
bu duan 	不断	c=5 d=6.3815e-40 t=102671
bu dui 	不对	c=5 d=0.201897 t=102671
bu duo 	不多	c=7 d=2.56923e-13 t=102671
bu er 	布尔	c=1 d=1.12069e-17 t=102671
bu fa shao 	不发烧	c=1 d=4.03484e-29 t=102671
bu fang bian 	不方便	c=10 d=2.0615e-11 t=102671
bu fen 	部分	c=59 d=0.519442 t=102671
bu fu 	不服	c=1 d=1.10668e-16 t=102671
bu fu 	不符	c=1 d=1 t=88760
bu fu he 	不符合	c=6 d=6.03109e-09 t=102671
bu gan 	不敢	c=3 d=4.45071e-36 t=102671
bu gao 	不高	c=1 d=1.3783e-10 t=102671
bu gei 	不给	c=0 d=1.44234e-104 t=102671
bu gei nin 	不给您	c=1 d=1.44957e-103 t=102671
bu geng huan 	不更换	c=1 d=7.55557e-115 t=102671
bu gou 	不够	c=3 d=9.24842e-14 t=102671
bu guan 	不管	c=2 d=5.17593e-106 t=102671
bu gui 	不贵	c=1 d=1.37503e-129 t=102671
bu gui fan 	不规范	c=1 d=7.41701e-15 t=102671
bu guo 	不过	c=48 d=0.951286 t=102671
bu han 	不含	c=2 d=4.83732e-16 t=102671
bu hao 	不好	c=27 d=8.06816e-05 t=102671
bu hao guo 	不好过	c=1 d=6.76898e-57 t=102671
bu hao shuo 	不好说	c=1 d=6.2756e-49 t=102671
bu hao yi si 	不好意思	c=10 d=9.51706e-09 t=102671
bu hao zuo 	不好做	c=1 d=3.41414e-05 t=102671
bu he ge 	不合格	c=2 d=0.000300519 t=102671
bu he shi 	不合适	c=4 d=1.76977e-10 t=102671
bu hua suan 	不划算	c=1 d=5.91134e-22 t=102671
bu hui 	不会	c=49 d=0.806541 t=102671
bu hui qu 	不会去	c=1 d=9.95561e-125 t=102671
bu hui yong 	不会用	c=1 d=1.7019e-138 t=102671
bu hun zu 	不婚族	c=1 d=7.21007e-35 t=102671
bu ji 	不急	c=2 d=2.16831e-17 t=102671
bu ji de 	不记得	c=1 d=4.12771e-32 t=102671
bu ji zhan 	补给站	c=1 d=1.35437e-98 t=102671
bu jia 	不加	c=2 d=8.69654e-05 t=102671
bu jian 	不见	c=1 d=1.06608e-135 t=102671
bu jian 	部件	c=7 d=0.536955 t=102671
bu jiao 	不交	c=1 d=1.2111e-18 t=102671
bu jie hun 	不结婚	c=1 d=1.02829e-34 t=102671
bu jie shou 	不接受	c=3 d=0.000426457 t=102671
bu jiu 	不久	c=2 d=8.82018e-24 t=102671
bu jiu ke yi 	不就可以	c=1 d=3.18064e-142 t=102671
